Times / Type,001___402376_Palo_Alto___main.xlsx,002___402377_Palo_Alto___main.xlsx,003___402379_Palo_Alto___main.xlsx,004___425696_Palo_Alto___off.xlsx,005___425697_Palo_Alto___main.xlsx,006___425897_Palo_Alto___on.xlsx,007___402380_Palo_Alto___main.xlsx,008___404529_East_Palo_Alto___main.xlsx,009___422116_East_Palo_Alto___main.xlsx,010___403059_East_Palo_Alto___off.xlsx,011___403060_East_Palo_Alto___on.xlsx,012___400859_East_Palo_Alto___main.xlsx,013___403061_East_Palo_Alto___on.xlsx,014___404533_East_Palo_Alto___main.xlsx,015___408267_East_Palo_Alto___on.xlsx,016___400981_East_Palo_Alto___main.xlsx,017___402398_East_Palo_Alto___main.xlsx,018___404534_Menlo_Park___main.xlsx,019___401474_Menlo_Park___main.xlsx,020___400388_Menlo_Park___main.xlsx,021___401927_Menlo_Park___main.xlsx,022___401653_Menlo_Park___main.xlsx,023___401872_Redwood_City___main.xlsx,024___405673_Redwood_City___main.xlsx,025___401874_Redwood_City___main.xlsx,026___403205_Redwood_City___off.xlsx,027___403206_Redwood_City___off.xlsx,028___405679_Redwood_City___main.xlsx,029___401835_Redwood_City___main.xlsx,030___404531_Redwood_City___main.xlsx,031___404532_Redwood_City___main.xlsx,032___410094_Redwood_City___off.xlsx,033___410095_Redwood_City___on.xlsx,034___401834_Redwood_City___main.xlsx,035___401833_Redwood_City___main.xlsx,036___410093_Redwood_City___on.xlsx,037___401929_Redwood_City___main.xlsx,038___401652_Redwood_City___main.xlsx,039___401882_Redwood_City___main.xlsx,040___412787_Redwood_City___on.xlsx,041___401832_Redwood_City___main.xlsx,042___412788_Redwood_City___on.xlsx,043___401869_Redwood_City___main.xlsx,044___401859_Belmont___main.xlsx,045___410111_Belmont___off.xlsx,046___410110_Belmont___on.xlsx,047___401910_Belmont___main.xlsx,048___401443_Belmont___main.xlsx,049___414212_Belmont___on.xlsx,050___402383_San_Mateo___main.xlsx,051___409888_San_Mateo___off.xlsx,052___401914_San_Mateo___main.xlsx,053___409676_San_Mateo___on.xlsx,054___410511_San_Mateo___on.xlsx,055___400661_San_Mateo___main.xlsx,056___400291_San_Mateo___main.xlsx,057___400107_San_Mateo___main.xlsx,058___400645_San_Mateo___main.xlsx,059___405859_San_Mateo___main.xlsx,060___405852_San_Mateo___on.xlsx,061___402385_San_Mateo___main.xlsx,062___402387_San_Mateo___main.xlsx,063___405828_San_Mateo___on.xlsx,064___405827_San_Mateo___main.xlsx,065___402389_San_Mateo___main.xlsx,066___428962_San_Mateo___main.xlsx,067___405847_San_Mateo___off.xlsx,068___405848_San_Mateo___main.xlsx,069___405845_San_Mateo___off.xlsx,070___405849_San_Mateo___on.xlsx,071___403261_San_Mateo___main.xlsx,072___400753_San_Mateo___main.xlsx,073___400720_San_Mateo___main.xlsx,074___401199_San_Mateo___main.xlsx,075___400935_San_Mateo___main.xlsx,076___403287_San_Mateo___off.xlsx,077___403288_San_Mateo___on.xlsx,078___400527_San_Mateo___main.xlsx,079___400007_San_Mateo___main.xlsx,080___400817_San_Mateo___main.xlsx,081___403086_San_Mateo___off.xlsx,082___400420_San_Mateo___main.xlsx,083___403087_San_Mateo___on.xlsx,084___400797_Burlingame___main.xlsx,085___422114_Burlingame___off.xlsx,086___403295_Burlingame___on.xlsx,087___400381_Burlingame___main.xlsx,088___400441_Burlingame___main.xlsx,089___403258_Burlingame___main.xlsx,090___412782_Burlingame___on.xlsx,091___412785_Burlingame___on.xlsx,092___401336_Millbrae___main.xlsx,093___400119_Millbrae___main.xlsx,094___405863_Millbrae___on.xlsx,095___401411_Millbrae___main.xlsx,096___400975_Millbrae___main.xlsx,097___413207_Millbrae___off.xlsx,098___413208_Millbrae___off.xlsx,099___413209_Millbrae___off.xlsx,100___413195_Millbrae___main.xlsx,101___413212_Millbrae___on.xlsx,102___400125_Millbrae___main.xlsx,103___400331_Millbrae___main.xlsx,104___400593_Millbrae___main.xlsx,105___405837_Millbrae___off.xlsx,106___400010_Millbrae___main.xlsx,107___405836_Millbrae___off.xlsx,108___405835_Millbrae___off.xlsx,109___405834_Millbrae___off.xlsx,110___405862_Millbrae___off.xlsx,111___400473_Millbrae___main.xlsx,112___400039_Millbrae___main.xlsx
9/4/24 8:00,4318,5855,5936,621,5864,1151,5675,6264,5865,135,323,6302,597,6302,331,6302,6302,6306,5108,6285,4992,6302,6306,6306,5975,1111,351,5956,5370,6300,5961,886,1954,5597,6697,114,2817,7273,5308,187,5181,723,5510,6450,631,566,5750,5123,353,6210,1279,5798,570,533,5618,6768,5543,3990,5254,1064,5458,6306,458,6303,6306,6945,113,5942,901,491,7242,8050,7246,6303,6717,647,743,6264,6735,8949,98,8024,77,4417,710,1044,6298,6418,6406,691,250,7366,5904,754,5790,6468,144,235,507,7031,462,7793,7019,8102,444,4886,335,283,2126,216,4991,3931
9/4/24 9:00,3837,5359,5412,570,5377,944,5150,5444,4861,79,229,6118,381,6118,259,6118,6118,6121,4403,5337,4291,6118,6121,6121,4770,882,348,5094,4387,5064,5015,673,861,4901,6060,59,2725,6431,4474,190,4381,675,4848,5683,532,537,5048,4451,261,5819,580,4874,520,496,5067,5488,4817,3451,4510,1149,4726,6121,152,6115,6121,6816,119,5761,824,379,6790,6955,6493,6115,6377,451,506,5658,6419,8128,114,7603,81,4048,695,755,5524,5982,5863,704,331,6562,5430,683,5122,5980,120,235,848,6234,783,7319,6415,7621,532,4610,404,387,1825,214,4696,3674
9/4/24 10:00,3518,5019,5086,539,5062,835,4852,5301,4797,101,242,5901,379,5901,250,5901,5901,5904,4318,5185,4214,5901,5904,5904,4482,843,223,4693,4136,5044,5056,590,919,4710,5859,70,2601,7097,4656,197,4383,727,4917,5699,525,464,5211,4479,237,5860,176,4792,534,323,5012,5658,4968,3790,4917,1142,5187,5904,138,5905,5904,7379,119,6370,591,381,7685,7247,7133,5905,6630,512,431,5432,6855,8034,90,8005,120,4240,675,786,5132,5896,5342,769,373,5689,4959,769,4366,5370,159,420,930,5304,950,6834,5724,7171,570,3912,536,396,1891,200,4128,3480
9/4/24 11:00,3422,5017,5150,618,5043,915,4868,5428,4986,93,287,5667,455,5667,224,5667,5667,5668,4454,5195,4338,5667,5668,5668,4421,778,180,4684,4086,5086,5084,594,965,4757,5914,44,2707,7275,4757,230,4417,834,4917,5962,474,553,5284,4649,248,6079,214,4941,573,294,5238,6013,5250,3946,5089,1044,5397,5668,105,5665,5668,7317,123,6411,617,381,7695,7137,7129,5665,6705,539,448,5432,7331,7886,84,8131,155,4323,648,697,5034,6130,5199,805,446,5413,4767,874,4047,5182,169,522,1021,5010,900,6507,5268,6696,651,3464,648,435,1998,194,3691,3203
9/4/24 12:00,3125,4783,4866,586,4818,965,4636,5571,5201,91,282,5606,461,5606,240,5606,5606,5603,4367,5125,4250,5606,5603,5603,4466,787,175,4561,4122,5207,5066,629,1027,4672,6057,46,2921,7126,4751,272,4476,866,4999,6248,415,583,5388,4722,285,6317,193,5175,641,268,5567,6263,5519,4024,5265,852,5503,5603,161,5599,5603,7145,155,6122,715,421,7363,6812,6897,5599,6488,571,423,5113,6902,7363,98,7575,179,4198,615,739,4736,5872,5032,856,512,5189,4640,875,3910,4998,181,534,869,4927,932,6400,5254,6464,626,3371,672,537,1998,166,3482,3120
9/5/24 6:00,3253,4860,4919,717,4876,342,4639,4235,3159,34,200,6140,420,6140,134,6140,6140,6140,4148,5051,4041,6140,6140,6140,3981,771,207,4464,3754,4574,4445,454,3904,3887,5203,21,2244,6022,4159,87,3908,337,4000,5529,227,319,4569,3866,103,5032,353,4232,317,276,4407,5035,4627,3378,4450,1460,4625,6140,125,6141,6140,7161,85,5705,256,242,7865,7120,7234,6141,6675,231,391,5621,7587,7845,82,7880,43,3697,516,478,5187,5765,5191,363,130,5688,4804,456,4477,4938,109,147,712,5045,597,6166,5338,6585,396,3827,288,344,1245,198,3969,3250
9/5/24 7:00,4243,5720,5788,708,5730,694,5477,5413,4418,84,353,6591,827,6591,281,6591,6591,6596,5338,6592,5261,6591,6596,6596,5892,1004,261,5863,5302,6306,5951,864,3857,4873,6485,79,3587,7249,5278,182,5146,569,5362,6463,407,521,5712,5122,247,6367,276,5641,635,572,5756,6843,5748,4134,5644,1276,5642,6596,379,6598,6596,8065,135,6685,759,444,8470,8372,7864,6598,7649,526,709,6609,7932,9107,84,8405,62,4532,811,814,6394,6705,6377,618,278,7246,5874,761,5574,6335,119,195,758,6777,588,7570,6808,7836,439,4846,393,419,2110,182,4884,3973
9/5/24 8:00,4455,6025,6106,584,6084,1228,5892,6465,5991,106,316,6295,627,6295,346,6295,6295,6295,5418,6765,5254,6295,6295,6295,6275,1141,344,6215,5637,6387,5956,1004,2257,4889,6600,111,3816,7420,5342,194,5199,781,5370,6571,540,533,5806,5266,345,6409,352,5762,676,593,5806,6976,5773,4126,5595,1133,5634,6295,436,6295,6295,7497,134,6762,915,520,7844,8254,7522,6295,7299,674,810,6555,7524,9137,106,8593,94,4619,767,1024,6437,6760,6597,679,244,7532,6038,729,5866,6630,133,281,548,7169,443,7945,7106,8304,458,4945,313,316,2161,272,4996,4054
9/5/24 9:00,4202,5828,5832,547,5820,1035,5607,5969,5219,70,252,6165,391,6165,261,6165,6165,6166,4740,5906,4571,6165,6166,6166,5290,891,396,5414,4808,5351,5166,727,844,4775,6292,76,3433,6706,4759,193,4730,703,5158,6008,538,537,5417,4791,310,6141,210,5297,572,494,5473,6052,5184,3746,4851,1166,5122,6166,200,6168,6166,7492,113,6192,644,382,7682,7504,7137,6168,6492,461,503,5683,6481,8034,74,7550,67,4176,664,773,5616,6178,5984,732,305,6629,5507,737,5140,6031,138,310,825,6324,666,7534,6509,7991,526,4526,543,475,1905,222,4624,3699
9/5/24 10:00,3663,5232,5294,563,5249,758,5034,5382,4741,120,288,5937,375,5937,204,5937,5937,5933,4340,5226,4209,5937,5933,5933,4063,843,255,4661,3818,4868,4899,591,938,4647,5752,60,3412,6734,4552,184,4320,741,4800,5891,477,491,5022,4497,257,6004,208,4905,527,297,5138,5784,5098,3987,5223,1118,5449,5933,157,5935,5933,7573,136,5801,691,345,7857,7495,7472,5935,6849,536,478,5614,7539,8020,83,8066,61,4311,670,770,5246,6158,5479,798,377,5881,5117,875,4536,5677,126,382,810,5660,903,6944,5836,7073,556,4007,571,433,2042,176,4231,3522
9/5/24 11:00,3296,4944,5019,541,4981,926,4753,5328,4848,88,262,5702,416,5702,260,5702,5702,5708,4361,5187,4257,5702,5708,5708,4159,770,157,4864,3942,5042,5071,616,943,4931,5966,48,3496,7107,4841,215,4591,872,4891,6233,427,523,5404,4756,284,6212,189,5239,536,263,5526,6264,5510,4176,5510,975,5698,5708,125,5713,5708,7437,129,5843,662,373,7935,7562,7401,5713,6981,587,443,5662,7418,8000,67,8153,74,4386,667,865,5311,6184,5440,844,404,5724,4994,890,4371,5370,145,491,950,5394,907,6833,5700,7105,612,3895,671,459,1902,182,4083,3518
9/5/24 12:00,3435,5092,5194,551,5090,955,4891,5448,5025,87,244,5664,464,5664,247,5664,5664,5660,4297,5130,4182,5664,5660,5660,4132,778,143,4582,3867,5045,5003,606,988,4660,5838,52,3750,7173,4813,214,4514,885,4904,6120,372,573,5268,4742,288,6202,216,5241,638,258,5480,6251,5459,3952,5220,879,5400,5660,139,5662,5660,7077,144,5502,677,377,7513,7120,7090,5662,6528,552,461,5275,7106,7448,80,7771,98,4253,629,780,4903,5866,5160,919,486,5370,4789,918,4119,5230,156,477,940,5093,1064,6662,5556,6949,577,3655,736,507,2033,196,3729,3416
9/6/24 6:00,3103,4606,4689,677,4621,333,4404,4209,3292,39,202,5804,436,5804,119,5804,5804,5801,4062,4811,3932,5804,5801,5801,3912,763,211,4200,3667,4246,4098,432,2537,3636,4947,27,2193,5407,3817,109,3715,292,3788,5187,217,305,4717,3670,120,4988,159,4087,290,290,4324,4816,4480,3307,4313,1311,4528,5801,126,5804,5801,6759,97,5244,279,228,7261,6673,6732,5804,6336,261,364,5216,6723,7132,58,6978,43,3492,533,393,4774,5385,4820,372,125,5133,4371,422,3884,4406,126,163,702,4542,642,5790,4874,6258,397,3432,317,347,1156,161,3606,3074
9/6/24 7:00,4053,5556,5649,718,5571,682,5312,5468,4664,164,295,6492,820,6492,312,6492,6492,6490,5230,6279,5123,6492,6490,6490,5855,1081,249,5576,5264,6368,5920,906,2820,4727,6389,61,3436,7428,5138,186,4913,565,5110,6423,369,492,6128,4955,234,6224,377,5404,543,512,5547,6579,5576,3971,5343,1269,5426,6490,331,6493,6490,7769,140,6260,718,459,8261,8027,7671,6493,7339,565,712,6291,7606,8850,75,8199,65,4303,823,715,5952,6473,6110,590,256,6716,5506,654,5118,5957,117,224,802,6180,612,7089,6174,7213,459,4284,462,472,2073,163,4412,3596
9/6/24 8:00,3998,5510,5596,588,5525,1085,5303,5787,5273,120,315,6238,568,6238,436,6238,6238,6237,4929,6060,4789,6238,6237,6237,5512,1040,289,5449,4986,5905,5501,927,1396,4818,6083,97,3667,6987,4881,181,4740,726,4941,6289,503,537,6105,4854,315,6258,220,5581,583,501,5709,6446,5531,4023,5386,1141,5489,6237,423,6241,6237,7411,115,6430,948,452,7593,7579,6960,6241,6678,705,673,5973,6760,8619,84,7952,70,4291,789,937,5806,6281,6190,681,259,6848,5597,786,5226,6100,122,268,629,6368,557,7387,6442,7665,531,4387,432,334,2055,240,4475,3627
9/6/24 9:00,3775,5321,5374,547,5343,888,5112,5650,5168,119,273,6073,423,6073,339,6073,6073,6071,4647,5582,4531,6073,6071,6071,4728,844,323,4768,4316,5178,5060,682,827,4708,6044,62,3505,6732,4520,178,4252,665,4699,5745,413,531,5682,4373,267,5712,180,4685,494,463,5075,5844,5120,3773,4985,1073,5165,6071,168,6072,6071,7067,119,5549,630,390,7589,7144,7040,6072,6691,504,548,5503,7143,7958,84,7663,132,4189,708,783,5339,6204,5762,750,352,6051,5233,774,4537,5561,129,309,903,5623,748,7028,5963,7320,583,3964,585,466,1816,228,4121,3551
9/6/24 10:00,3342,4933,5020,610,4951,807,4726,5246,4643,88,248,5938,420,5938,398,5938,5938,5935,4415,5189,4319,5938,5935,5935,4208,850,193,4551,3937,5156,5142,651,892,4724,6034,60,3540,7129,4643,253,4342,754,4888,5932,361,498,5916,4567,259,6012,178,4959,530,398,5257,6088,5310,4070,5293,936,5557,5935,119,5936,5935,7315,145,5493,583,386,7556,7306,7196,5936,6727,539,451,5371,7092,7618,76,7637,111,4257,689,691,4984,5856,5252,808,390,5484,4826,862,4132,5251,116,348,924,5155,1028,6720,5593,6984,609,3804,574,461,1921,169,3984,3458
9/6/24 11:00,3287,4990,5096,598,5023,947,4801,5344,4808,118,278,5873,442,5873,276,5873,5873,5872,4283,5104,4155,5873,5872,5872,4178,806,147,4756,3968,5085,5028,620,920,4831,6161,54,3884,7293,4870,240,4561,899,5032,6377,380,574,6333,4897,272,6506,202,5410,621,390,5770,6443,5630,4185,5561,826,5717,5872,123,5871,5872,7399,141,5614,579,429,7770,7316,7358,5871,6891,554,443,5492,7370,7928,71,8176,146,4332,703,819,5002,6094,5369,810,408,5555,4887,868,4164,5240,124,424,1006,5105,1050,6621,5438,6704,668,3547,669,456,2077,177,3754,3363
9/6/24 12:00,3325,4968,5062,645,4998,1098,4782,5766,5404,99,287,5897,506,5897,319,5897,5897,5898,4371,5241,4242,5897,5898,5898,4427,826,127,4673,4109,5176,5076,661,975,4735,6008,51,4052,6809,4730,245,4567,906,5052,6229,403,586,6251,4850,288,6271,264,5235,664,406,5507,6393,5533,4027,5345,857,5497,5898,147,5898,5898,7244,156,5495,697,403,7535,7237,7192,5898,6636,617,438,5273,7038,7298,65,7424,136,4223,657,789,4855,5885,5212,931,503,5337,4817,976,4041,5203,151,476,973,5005,1045,6616,5545,6789,642,3572,736,560,2092,187,3807,3322
9/9/24 6:00,4039,4754,4849,771,4805,336,4566,4269,3115,30,204,5920,393,5920,134,5920,5920,5919,4120,4932,4005,5920,5919,5919,4106,742,190,4377,3813,4414,4384,417,2659,4146,5215,22,2759,5361,3927,115,3926,328,3954,5522,200,261,4605,3457,88,4583,56,3766,262,239,3983,4931,4580,3392,4415,1459,4651,5919,114,5920,5919,6498,67,5523,256,215,7113,7102,7146,5920,6741,210,362,5563,7156,7605,71,7296,35,3781,505,404,5122,5866,4701,393,132,4850,4173,414,3640,4451,144,207,1025,4731,723,5511,4534,6004,403,3639,349,411,1221,158,3339,3007
9/9/24 7:00,4944,5784,5856,709,5790,727,5522,5533,4451,96,305,6368,798,6368,308,6368,6368,6370,5279,6420,5195,6368,6370,6370,6058,1079,289,5829,5429,6365,5996,827,2909,5361,6693,69,4318,7421,5327,174,5157,557,5382,6692,392,492,5747,5142,199,6224,164,5419,571,555,5598,6700,5677,4118,5552,1274,5618,6370,352,6370,6370,7696,127,6775,702,463,8135,8010,7546,6370,7112,531,708,6307,7263,8731,68,8008,59,4360,704,863,6166,6539,6400,652,348,7047,5683,717,5222,5976,133,260,1118,6351,728,7263,6558,7549,423,4641,536,567,1969,184,4791,3823
